iter	RMSE
165	1.002509926
166	1.002349604
167	1.002184692
168	1.002045424
169	1.001897601
170	1.001752946
171	1.001599781
172	1.001450451
173	1.001283972
174	1.001113223
175	1.000987643
176	1.00082056
177	1.000651895
178	1.000464652
179	1.000305217
180	1.000179748
181	1.000018043
182	0.9998852682
183	0.9997141096
184	0.9995277192
185	0.99936678
186	0.999191147
187	0.9990344221
188	0.9988639382
189	0.9987353262
190	0.9985625482
191	0.9984063222
192	0.9982899172
193	0.9980828063
194	0.9979065922
195	0.9977502233
196	0.9975541019
197	0.9974234972
198	0.9972512361
199	0.9970967976
200	0.9969390125
201	0.996752438
202	0.9965829407
203	0.9964314557
204	0.9962774703
205	0.9961161864
206	0.9959453071
207	0.9957933421
208	0.9956589218
209	0.995490636
210	0.9953206154
211	0.9951291157
212	0.9949564483
213	0.994848476
214	0.9947113355
215	0.9945558153
216	0.9943856398
217	0.9941958602
218	0.994071142
219	0.9938895447
220	0.9937161401
221	0.993591026
222	0.9934172062
223	0.9932798425
224	0.9931463181
225	0.9930208918
226	0.9928523439
227	0.9927461886
228	0.9926361303
229	0.9924819596
230	0.992342864
231	0.9921990327
232	0.9920168097
233	0.991884323
234	0.9917583466
235	0.9915988927
236	0.9914488492
237	0.9912939281
238	0.9911346028
239	0.9910116856
240	0.9908786792
241	0.9907205248
242	0.9905677263
243	0.9904283848
244	0.9903108611
245	0.9901650126
246	0.9900175068
247	0.9898782408
248	0.9897256568
249	0.9896071282
250	0.9894574706
251	0.9893529528
252	0.9892245435
253	0.989100259
254	0.9889409458
255	0.9888182023
256	0.9886922433
257	0.9885312395
258	0.9883966295
259	0.9882459338
260	0.9881115133
261	0.9879904858
262	0.987839739
263	0.98769577
264	0.9875679716
265	0.9874562148
266	0.9872817371
267	0.9871057922
268	0.9869516517
269	0.9868119382
270	0.9866633209
271	0.9865033885
272	0.9863759246
273	0.9862468104
274	0.9861157193
275	0.9859983632
276	0.9858570946
277	0.9857247253
278	0.9855791066
279	0.9854444792
280	0.9852879449
281	0.9851277076
282	0.9849772922
283	0.9848274
284	0.9846777603
285	0.9845397194
286	0.9843869733
287	0.9842532007
288	0.9841222209
289	0.9839742652
290	0.9838903951
291	0.9837780622
292	0.9836213704
293	0.9834735496
294	0.9833089474
295	0.9831605973
296	0.983000713
297	0.9828873173
298	0.9827889848
299	0.9826454374
300	0.9825423554
301	0.9824223226
302	0.9822780848
303	0.9821324832
304	0.9820347621
305	0.9819132904
306	0.9817491704
307	0.9815964049
308	0.9814886966
309	0.9813574246
310	0.9812102967
311	0.9810338657
312	0.9808894286
313	0.9807237772
314	0.9806068014
315	0.9804402872
316	0.9802994142
317	0.9801767547
318	0.9800397972
319	0.9798861221
320	0.9797316512
321	0.9795874066
322	0.9794469031
323	0.9793092453
324	0.9791480073
325	0.9790087619
326	0.9788679048
327	0.9787264148
328	0.9786116874
329	0.9784814771
330	0.9783223379
331	0.9781827161
332	0.9780459205
333	0.9778800838
334	0.977752968
335	0.9776157668
336	0.9775009286
337	0.9773743859
338	0.9772181139
339	0.9771076132
340	0.9769620357
341	0.976834907
342	0.9767354101
343	0.9765911353
344	0.9764624911
345	0.9763138338
346	0.9761765957
347	0.976019879
348	0.975892296
349	0.9757779095
350	0.9756396255
351	0.9755150697
352	0.9753717357
353	0.9752224414
354	0.9750485322
355	0.9749285871
356	0.9747747805
357	0.9746103867
358	0.9744574034
359	0.9743099432
360	0.9741707007
361	0.9740078335
362	0.973849711
363	0.9737109124
364	0.9735814235
365	0.9734346454
366	0.9732781453
367	0.9731346884
368	0.9729822031
369	0.972840343
370	0.9726923655
371	0.9725531241
372	0.9724374804
373	0.9723373082
374	0.9722360099
375	0.9721025174
376	0.9720101467
377	0.9718633219
378	0.9717321627
379	0.971629371
380	0.9714930272
381	0.9713570752
382	0.9712244389
383	0.9710941763
384	0.9709535361
385	0.9708197245
386	0.9706787563
387	0.9705274802
388	0.9703798564
389	0.9702766091
390	0.9701537441
391	0.9700325186
392	0.969912117
393	0.9697595679
394	0.9696193865
395	0.9694594618
396	0.9693376627
397	0.9692029217
398	0.9690522196
399	0.9689442616
400	0.9688116912
401	0.9687145678
402	0.9685754225
403	0.9684704534
404	0.9683280398
405	0.9681579739
406	0.9680521853
407	0.9679508055
408	0.967822091
409	0.9677390704
410	0.9676088122
411	0.9674706373
412	0.9673568008
413	0.967221891
414	0.9670861745
415	0.9669884399
416	0.9668440303
417	0.9666989108
418	0.9665667734
419	0.9664643007
420	0.9663389514
421	0.9662187632
422	0.9661159574
423	0.9660020797
424	0.9658925267
425	0.9657675548
426	0.9656298259
427	0.9655093154
428	0.9653721623
429	0.9652505759
430	0.9651337152
431	0.9650237389
432	0.9649245516
433	0.9648152983
434	0.9647116589
435	0.9645660093
436	0.9644499717
437	0.9643295216
438	0.9642185856
439	0.964070339
440	0.9639491916
441	0.9638160638
442	0.963706179
443	0.9635943589
444	0.9634776811
445	0.9633512446
446	0.9632318457
447	0.963105688
448	0.9629972624
449	0.9629030889
450	0.9627941292
451	0.9626421491
452	0.9625084604
453	0.9623991998
454	0.9622866993
455	0.9621594087
456	0.9620624027
457	0.9619514913
458	0.9618328237
459	0.9617416072
460	0.9616449733
461	0.9615297574
462	0.9613764141
463	0.9612570806
464	0.9611449124
465	0.9610114134
466	0.9608851162
467	0.960774552
468	0.9606580236
469	0.9605378215
470	0.9603974253
471	0.9602636788
472	0.960164218
473	0.9600267431
474	0.9599087111
475	0.9597613163
476	0.9596434952
477	0.9595055205
478	0.9593796186
479	0.9592530727
480	0.9591580979
481	0.9590318817
482	0.958923241
483	0.9587853603
484	0.9586728647
485	0.9585330303
486	0.9584181895
487	0.9582710404
488	0.9581184727
489	0.9579840886
490	0.9578560906
491	0.9577478994
492	0.9575699692
493	0.9574289311
494	0.9572923013
495	0.9571436727
496	0.9570195418
497	0.9568888582
498	0.9567861993
499	0.9566725479
500	0.9565468446
501	0.9564251119
502	0.9562992928
503	0.9561554036
504	0.956020902
505	0.955886122
506	0.9557609374
507	0.9556637196
508	0.9555199344
509	0.955377039
510	0.9552683316
511	0.9551780713
512	0.9550566233
513	0.9549205756
514	0.9548129603
515	0.9547119561
516	0.9545999881
517	0.9544951037
518	0.9543597799
519	0.9542594081
520	0.9541269753
521	0.9540062519
522	0.9538791406
523	0.953767405
524	0.9536525972
525	0.9535239472
526	0.9534019356
527	0.9532821891
528	0.9531629722
529	0.9530544575
530	0.9529572069
531	0.9528524602
532	0.9527060018
533	0.9525793459
534	0.9524805314
535	0.9523339858
536	0.952201071
537	0.952078371
538	0.9519780018
539	0.9518328683
540	0.9517309765
541	0.951595206
542	0.9514892117
543	0.9513621085
544	0.9512344438
545	0.9511187122
546	0.9510119368
547	0.9509024091
548	0.9507970771
549	0.9506791583
550	0.9505472035
551	0.9504424196
552	0.9503064574
553	0.9501935902
554	0.9500692949
555	0.9499472781
556	0.9498370234
557	0.9497141449
558	0.9495705328
559	0.9494408947
560	0.9493575331
561	0.9492751141
562	0.9491612458
563	0.9490764543
564	0.9489734345
565	0.9488615062
566	0.9487392686
567	0.9486158394
568	0.9485428744
569	0.9484248279
570	0.9483345916
571	0.948227806
572	0.9481257535
573	0.9480003574
574	0.9478853835
575	0.9477714456
576	0.9476780906
577	0.9475600735
578	0.9474717581
579	0.9473404744
580	0.9472644018
581	0.9471300221
582	0.9469933407
583	0.9468851874
584	0.9467803543
585	0.9467011311
586	0.9466110028
587	0.9465121013
588	0.9464161287
589	0.9463049114
590	0.9461960822
591	0.946086642
592	0.9459720888
593	0.9458817075
594	0.9457593763
595	0.9456563946
596	0.9455453226
597	0.9454303391
598	0.9453333429
599	0.9452146566
600	0.9450956264
601	0.9449981416
602	0.9448836445
603	0.944785189
604	0.9446607315
605	0.9445465699
606	0.9444295277
607	0.944338939
608	0.9442440022
609	0.9441173332
610	0.9440109956
611	0.9438992683
612	0.9437572878
613	0.9436588019
614	0.9435399833
615	0.943424387
616	0.9433024472
617	0.9431614299
618	0.943035662
619	0.9429264978
620	0.9428220532
621	0.9426977013
622	0.9426072465
623	0.9425078399
624	0.9423847647
625	0.9422768745
626	0.9421895897
627	0.9420950851
628	0.9419843743
629	0.9418677921
630	0.9417704667
631	0.9416585048
632	0.9415776633
633	0.9414750302
634	0.9413380711
635	0.9412250614
636	0.9411075967
637	0.9410126058
638	0.9408979785
639	0.9407660573
640	0.9406660424
641	0.9405693041
642	0.9404451959
643	0.9403338252
644	0.9402249407
645	0.9401046352
646	0.9399989304
647	0.9398923984
648	0.9397953648
649	0.9396856229
650	0.9395700886
651	0.939478751
652	0.9393565449
653	0.9392577863
654	0.93913855
655	0.9390442513
656	0.938949856
657	0.9388355449
658	0.9387415736
659	0.9386717705
660	0.9385622291
661	0.9384334069
662	0.9383059585
663	0.9382023545
664	0.9381078441
665	0.9380176274
666	0.9378692625
667	0.9377442144
668	0.9376278879
669	0.9375283171
670	0.9374190515
671	0.9373077367
672	0.9372264138
673	0.9371094502
674	0.9369939724
675	0.9369075553
676	0.9367928277
677	0.9366836175
678	0.9366012313
679	0.9364866083
680	0.9363925321
681	0.9362566387
682	0.9361589324
683	0.9360424716
684	0.9359332205
685	0.9358248432
686	0.9357438173
687	0.9356605627
688	0.9355675341
689	0.9354874443
690	0.9353936595
691	0.9352787373
692	0.9351895516
693	0.9350748262
694	0.9349670409
695	0.934852277
696	0.9347736012
697	0.9346865348
698	0.9345937669
699	0.9345121761
700	0.9343780518
701	0.9342524201
702	0.9341297757
703	0.9340121582
704	0.9339204218
705	0.9338254112
706	0.9336998191
707	0.9336035664
708	0.933518479
709	0.9334145983
710	0.9333119401
711	0.9332117783
712	0.9331138139
713	0.9330266376
714	0.9329354685
715	0.9328359519
716	0.932730022
717	0.9326390306
718	0.9325370617
719	0.9324710357
720	0.9323608341
721	0.9322950919
722	0.9321839465
723	0.9320537477
724	0.9319380068
725	0.9318120963
726	0.9316912978
727	0.9315606609
728	0.9314403278
729	0.931339765
730	0.9312602855
731	0.9311352732
732	0.9310571851
733	0.930950756
734	0.9308315199
735	0.9307408039
736	0.9306342094
737	0.9305163531
738	0.9304009363
739	0.9302944366
740	0.9301720136
741	0.9300906707
742	0.9300025807
743	0.9299305284
744	0.9298332858
745	0.9297424539
746	0.9296505657
747	0.9295651164
748	0.9294806117
749	0.9293880175
