iter	Passed	Remaining
320	3636	4859
321	3647	4848
322	3659	4837
323	3670	4826
324	3682	4814
325	3699	4811
326	3710	4800
327	3722	4789
328	3734	4778
329	3745	4766
330	3756	4755
331	3768	4744
332	3779	4732
333	3790	4721
334	3801	4709
335	3812	4697
336	3823	4686
337	3834	4674
338	3845	4662
339	3856	4650
340	3867	4638
341	3878	4627
342	3889	4615
343	3900	4603
344	3911	4592
345	3922	4580
346	3933	4568
347	3944	4556
348	3955	4545
349	3966	4533
350	3977	4521
351	3989	4510
352	4000	4499
353	4011	4487
354	4022	4476
355	4033	4464
356	4044	4452
357	4055	4440
358	4066	4429
359	4078	4418
360	4089	4406
361	4100	4395
362	4111	4383
363	4123	4372
364	4134	4361
365	4145	4349
366	4156	4337
367	4168	4327
368	4181	4317
369	4194	4308
370	4206	4296
371	4217	4285
372	4228	4273
373	4239	4261
374	4250	4250
375	4261	4238
376	4272	4227
377	4283	4215
378	4294	4204
379	4306	4192
380	4317	4181
381	4328	4169
382	4339	4158
383	4350	4146
384	4361	4135
385	4378	4128
386	4389	4117
387	4400	4105
388	4411	4094
389	4423	4082
390	4433	4071
391	4445	4059
392	4456	4048
393	4467	4036
394	4478	4025
395	4489	4013
396	4500	4002
397	4511	3990
398	4523	3978
399	4533	3967
400	4544	3955
401	4556	3944
402	4567	3932
403	4578	3921
404	4589	3909
405	4600	3898
406	4612	3886
407	4623	3875
408	4634	3863
409	4645	3851
410	4655	3840
411	4667	3828
412	4678	3817
413	4689	3806
414	4701	3794
415	4712	3783
416	4724	3772
417	4736	3761
418	4747	3750
419	4758	3738
420	4769	3727
421	4780	3715
422	4791	3704
423	4802	3692
424	4813	3680
425	4824	3669
426	4835	3657
427	4846	3646
428	4858	3635
429	4869	3623
430	4881	3612
431	4892	3601
432	4903	3590
433	4915	3578
434	4926	3567
435	4937	3556
436	4949	3544
437	4960	3533
438	4971	3521
439	4982	3510
440	4994	3499
441	5006	3488
442	5018	3477
443	5029	3466
444	5041	3455
445	5052	3443
446	5063	3432
447	5075	3421
448	5086	3409
449	5097	3398
450	5109	3387
451	5120	3376
452	5132	3364
453	5143	3353
454	5154	3341
455	5165	3330
456	5178	3319
457	5191	3309
458	5202	3298
459	5214	3287
460	5225	3275
461	5236	3264
462	5254	3257
463	5265	3245
464	5276	3234
465	5287	3222
466	5299	3211
467	5310	3199
468	5321	3188
469	5332	3176
470	5343	3165
471	5354	3153
472	5365	3142
473	5376	3130
474	5388	3119
475	5399	3107
476	5409	3096
477	5421	3084
478	5432	3073
479	5443	3062
480	5455	3050
481	5466	3039
482	5477	3027
483	5488	3016
484	5499	3005
485	5510	2993
486	5522	2982
487	5533	2970
488	5544	2959
489	5555	2947
490	5566	2936
491	5576	2924
492	5588	2913
493	5599	2901
494	5610	2890
495	5622	2879
496	5633	2867
497	5644	2856
498	5655	2844
499	5666	2833
500	5678	2822
501	5689	2810
502	5700	2799
503	5712	2788
504	5723	2776
505	5735	2765
506	5746	2754
507	5757	2742
508	5768	2731
509	5780	2720
510	5791	2708
511	5802	2697
512	5813	2685
513	5824	2674
514	5835	2662
515	5846	2651
516	5857	2640
517	5869	2628
518	5880	2617
519	5891	2605
520	5902	2594
521	5913	2582
522	5924	2571
523	5935	2560
524	5947	2548
525	5958	2537
526	5968	2525
527	5980	2514
528	5991	2503
529	6002	2491
530	6014	2480
531	6025	2469
532	6036	2457
533	6047	2446
534	6058	2434
535	6069	2423
536	6080	2411
537	6091	2400
538	6102	2388
539	6119	2379
540	6130	2368
541	6142	2357
542	6153	2345
543	6164	2334
544	6177	2323
545	6190	2313
546	6202	2301
547	6213	2290
548	6224	2278
549	6235	2267
550	6246	2255
551	6257	2244
552	6268	2233
553	6280	2221
554	6291	2210
555	6302	2198
556	6313	2187
557	6324	2176
558	6335	2164
559	6346	2153
560	6358	2142
561	6368	2130
562	6379	2119
563	6391	2107
564	6401	2096
565	6412	2084
566	6423	2073
567	6434	2061
568	6445	2050
569	6456	2038
570	6467	2027
571	6478	2016
572	6489	2004
573	6500	1993
574	6512	1981
575	6523	1970
576	6534	1959
577	6545	1947
578	6556	1936
579	6567	1925
580	6578	1913
581	6589	1902
582	6601	1890
583	6612	1879
584	6623	1868
585	6635	1856
586	6646	1845
587	6657	1834
588	6668	1822
589	6679	1811
590	6691	1800
591	6702	1788
592	6714	1777
593	6725	1766
594	6737	1755
595	6748	1743
596	6759	1732
597	6770	1720
598	6781	1709
599	6792	1698
600	6804	1686
601	6815	1675
602	6826	1664
603	6837	1652
604	6848	1641
605	6859	1629
606	6870	1618
607	6881	1607
608	6893	1595
609	6904	1584
610	6915	1573
611	6926	1561
612	6937	1550
613	6948	1539
614	6959	1527
615	6970	1516
616	6987	1506
617	6998	1494
618	7010	1483
619	7022	1472
620	7033	1461
621	7044	1449
622	7055	1438
623	7066	1426
624	7077	1415
625	7088	1404
626	7099	1392
627	7110	1381
628	7121	1370
629	7132	1358
630	7143	1347
631	7155	1336
632	7168	1324
633	7179	1313
634	7190	1302
635	7201	1290
636	7212	1279
637	7223	1268
638	7234	1256
639	7245	1245
640	7256	1233
641	7267	1222
642	7278	1211
643	7289	1199
644	7300	1188
645	7311	1177
646	7322	1165
647	7333	1154
648	7344	1143
649	7355	1131
650	7367	1120
651	7378	1108
652	7389	1097
653	7400	1086
654	7411	1074
655	7422	1063
656	7433	1052
657	7444	1040
658	7456	1029
659	7474	1019
660	7485	1007
661	7497	996
662	7508	985
663	7519	973
664	7530	962
665	7541	951
666	7552	939
667	7563	928
668	7575	917
669	7586	905
670	7597	894
671	7608	883
672	7620	871
673	7636	861
674	7648	849
675	7660	838
676	7671	827
677	7681	815
678	7692	804
679	7704	793
680	7715	781
681	7727	770
682	7738	759
683	7749	747
684	7761	736
685	7772	725
686	7783	713
687	7794	702
688	7805	691
689	7816	679
690	7827	668
691	7838	657
692	7849	645
693	7866	634
694	7877	623
695	7889	612
696	7900	600
697	7911	589
698	7922	578
699	7933	566
700	7944	555
701	7956	544
702	7966	532
703	7978	521
704	7989	509
705	8000	498
706	8012	487
707	8023	475
708	8034	464
709	8045	453
710	8056	441
711	8068	430
712	8078	419
713	8090	407
714	8101	396
715	8112	385
716	8123	373
717	8134	362
718	8145	351
719	8157	339
720	8168	328
721	8179	317
722	8190	305
723	8201	294
724	8212	283
725	8223	271
726	8234	260
727	8245	249
728	8256	237
729	8267	226
730	8278	215
731	8290	203
732	8301	192
733	8312	181
734	8323	169
735	8334	158
736	8345	147
737	8356	135
738	8367	124
739	8379	113
740	8390	101
741	8401	90
742	8413	79
743	8423	67
744	8435	56
745	8446	45
746	8457	33
747	8468	22
748	8479	11
749	8490	0
